id_proyecto,nombre_proyecto,id_cliente,fecha_inicio_estimada,fecha_fin_estimada,fecha_inicio_real,fecha_fin_real,estado,presupuesto_estimado,presupuesto_real,valor_venta,ganancias,horas_estimadas,horas_totales,prioridad,id_metodologia
1,Proy-2019-visualiza,12,2019-05-01,2019-08-05,2019-05-08,2019-07-10,cancelado,184320,0,273538.04,0.0,3840,0,media,5
2,Proy-2022-crece,6,2022-10-18,2023-09-29,2022-10-23,2023-12-19,finalizado,747360,680184,1118984.79,438800.79,13840,12596,alta,5
3,Proy-2019-sinergiza,17,2019-07-27,2020-02-11,2019-07-22,2020-02-17,finalizado,229248,218736,357103.86,138367.86,4776,4557,alta,1
4,Proy-2016-redefine,6,2016-03-25,2016-12-10,2016-03-28,2017-02-03,finalizado,349440,384468,521978.65,137510.65,8320,9154,baja,2
5,Proy-2022-empodera,12,2022-08-24,2022-10-25,2022-09-02,2022-11-03,finalizado,214272,277722,341733.22,64011.22,3968,5143,media,5
6,Proy-2016-innova,1,2016-11-03,2017-01-10,2016-11-09,2017-01-13,finalizado,114240,126378,180815.85,54437.85,2720,3009,alta,5
7,Proy-2023-habilita,9,2023-07-31,2024-01-28,2023-08-03,2024-01-14,finalizado,405440,408632,615688.73,207056.73,7240,7297,media,4
8,Proy-2020-implementa,18,2020-03-06,2020-11-23,2020-03-03,2021-01-14,finalizado,314400,327050,456043.23,128993.23,6288,6541,baja,1
9,Proy-2020-incentiva,12,2020-07-06,2020-10-15,2020-07-01,2020-10-18,finalizado,161600,187600,214728.48,27128.48,3232,3752,media,2
10,Proy-2025-orquesta,7,2025-09-05,2026-03-13,2025-09-06,,en curso,635040,0,850425.37,0.0,10584,0,baja,1
11,Proy-2017-implementa,12,2017-02-07,2017-12-12,2017-02-07,2017-05-12,cancelado,433664,0,692934.52,0.0,9856,0,media,1
12,Proy-2020-abraza,10,2020-06-22,2020-11-25,2020-06-17,2020-11-26,finalizado,374400,360650,501913.68,141263.68,7488,7213,baja,5
13,Proy-2016-abraza,13,2016-11-20,2017-08-10,2016-11-26,2017-11-08,finalizado,530208,500556,764999.75,264443.75,12624,11918,baja,1
14,Proy-2022-redefine,15,2022-12-15,2023-02-18,2022-12-10,2023-03-08,finalizado,168480,171342,265998.88,94656.88,3120,3173,media,2
15,Proy-2017-modifica,1,2017-05-23,2018-01-19,2017-05-28,2018-03-25,finalizado,678656,867240,1019739.02,152499.02,15424,19710,baja,2
16,Proy-2016-incentiva,19,2016-05-01,2017-02-10,2016-05-02,2017-04-03,finalizado,766080,994854,1027053.34,32199.34,18240,23687,media,2
17,Proy-2021-compromete,19,2021-05-17,2022-02-07,2021-05-20,2022-02-07,finalizado,331968,346424,525822.53,179398.53,6384,6662,media,3
18,Proy-2022-transforma,10,2022-05-08,2022-09-23,2022-05-18,2022-11-18,finalizado,417312,387936,553196.32,165260.32,7728,7184,baja,4
19,Proy-2020-maximiza,18,2020-09-19,2021-01-18,2020-09-27,2021-02-26,finalizado,290400,357100,456565.57,99465.57,5808,7142,media,2
20,Proy-2017-crece,7,2017-09-07,2017-11-05,2017-09-16,2017-10-03,cancelado,166144,0,252065.03,0.0,3776,0,media,1
21,Proy-2016-utiliza,16,2016-09-03,2017-06-06,2016-09-06,2017-08-12,finalizado,463680,585228,741569.33,156341.33,11040,13934,baja,2
22,Proy-2020-incentiva,9,2020-11-22,2021-07-13,2020-11-26,2021-07-03,finalizado,652400,590150,1020853.97,430703.97,13048,11803,media,1
23,Proy-2019-visualiza,13,2019-09-04,2020-05-02,2019-09-10,2020-04-28,finalizado,370176,460320,580068.5,119748.5,7712,9590,media,4
24,Proy-2017-transforma,15,2017-02-07,2017-07-16,2017-02-07,2017-08-22,finalizado,447744,447480,650084.26,202604.26,10176,10170,baja,3
25,Proy-2017-compromete,4,2017-09-01,2018-07-19,2017-09-10,2018-07-17,finalizado,790944,851752,1262523.45,410771.45,17976,19358,baja,3
26,Proy-2023-empodera,16,2023-07-15,2024-01-21,2023-07-14,2024-03-23,finalizado,510720,631456,700143.14,68687.14,9120,11276,alta,5
27,Proy-2022-transiciona,18,2022-08-10,2023-01-04,2022-08-17,2023-01-15,finalizado,508032,578934,685822.0,106888.0,9408,10721,baja,3
28,Proy-2024-incuba,4,2024-05-07,2025-04-28,2024-05-08,2025-06-06,finalizado,1156288,1292414,1725584.09,433170.09,19936,22283,media,5
29,Proy-2020-utiliza,12,2020-12-09,2021-05-24,2020-12-10,2021-06-23,finalizado,332000,365350,487084.94,121734.94,6640,7307,media,2
30,Proy-2017-maneja,8,2017-08-16,2018-04-20,2017-08-25,2018-06-25,finalizado,608608,739508,921358.67,181850.67,13832,16807,baja,4
31,Proy-2025-fortalece,9,2025-07-16,2025-12-03,2025-07-18,,en curso,201600,0,321913.98,0.0,3360,0,baja,5
32,Proy-2024-reinventa,5,2024-06-25,2024-10-15,2024-06-27,2024-10-26,finalizado,311808,386164,435086.33,48922.33,5376,6658,media,3
33,Proy-2021-habilita,17,2021-10-12,2022-06-30,2021-10-13,2022-06-05,cancelado,542880,0,854532.31,0.0,10440,0,baja,2
34,Proy-2017-maximiza,12,2017-08-18,2018-05-04,2017-08-24,2018-06-09,finalizado,273504,330440,409046.65,78606.65,6216,7510,alta,5
35,Proy-2022-mezcla,12,2022-06-24,2023-02-13,2022-07-02,2023-02-28,finalizado,707616,792234,999897.2,207663.2,13104,14671,media,2
36,Proy-2023-compromete,2,2023-04-10,2023-06-25,2023-04-14,2023-07-20,finalizado,204288,199472,306835.22,107363.22,3648,3562,alta,5
37,Proy-2025-revoluciona,5,2025-10-24,2026-01-27,2025-11-03,,en curso,273600,0,417159.44,0.0,4560,0,alta,5
38,Proy-2025-transiciona,9,2025-01-01,2025-06-01,2024-12-30,2025-07-20,finalizado,210192,258854,281735.2,22881.2,3624,4463,media,4
39,Proy-2024-revoluciona,15,2024-08-05,2025-07-18,2024-08-12,2025-07-05,finalizado,1127056,1306508,1472749.23,166241.23,19432,22526,alta,5
40,Proy-2020-implementa,17,2020-02-28,2020-08-28,2020-03-02,2020-10-12,finalizado,509600,547050,729448.14,182398.14,10192,10941,alta,2
41,Proy-2024-innova,16,2024-08-18,2024-12-04,2024-08-22,2024-12-18,finalizado,300672,378856,476495.98,97639.98,5184,6532,baja,4
42,Proy-2019-integra,12,2019-10-07,2020-06-06,2019-10-17,2020-08-02,finalizado,279936,256656,394132.82,137476.82,5832,5347,baja,1
43,Proy-2023-entrega,3,2023-01-26,2023-07-15,2023-01-29,2023-08-18,finalizado,533120,520632,801702.64,281070.64,9520,9297,alta,1
44,Proy-2023-libera,9,2023-07-27,2023-10-10,2023-07-24,2023-10-21,finalizado,134400,130984,191681.73,60697.73,2400,2339,alta,3
45,Proy-2015-cultiva,1,2015-12-21,2016-04-25,2015-12-20,2016-05-02,finalizado,241920,246800,330709.51,83909.51,6048,6170,alta,4
46,Proy-2024-maximiza,9,2024-07-08,2025-04-27,2024-07-04,2025-08-17,finalizado,679760,810666,943208.62,132542.62,11720,13977,media,1
47,Proy-2018-recontextualiza,12,2018-12-12,2019-06-06,2018-12-19,2019-06-22,finalizado,194304,182528,293647.48,111119.48,4224,3968,baja,5
48,Proy-2024-monetiza,19,2024-02-03,2024-11-10,2024-02-03,2024-03-26,cancelado,1043072,0,1471770.08,0.0,17984,0,alta,3
49,Proy-2016-revoluciona,7,2016-09-02,2017-01-09,2016-08-28,2017-01-20,finalizado,346752,366324,531451.48,165127.48,8256,8722,alta,1
50,Proy-2022-implementa,12,2022-11-16,2023-10-17,2022-11-14,2023-09-12,finalizado,434160,515268,627289.99,112021.99,8040,9542,alta,4
51,Proy-2020-explota,10,2020-12-30,2021-02-05,2020-12-27,2021-02-02,finalizado,44400,45200,58846.14,13646.14,888,904,baja,5
52,Proy-2021-maximiza,17,2021-04-20,2022-04-16,2021-04-28,2022-08-11,finalizado,600704,586404,891911.95,305507.95,11552,11277,baja,1
